---------------------------   T---Canny ------------------------------------------------------------------
Date: 2025-05-17 18:37:24s, Time_Cost: 3690s, Epoch: [0/100], Val_PSNR:32.60, Val_SSIM:0.9522, Lr:0.0008
Date: 2025-05-17 19:39:11s, Time_Cost: 3708s, Epoch: [1/100], Val_PSNR:34.08, Val_SSIM:0.9634, Lr:0.0008
Date: 2025-05-17 20:40:50s, Time_Cost: 3698s, Epoch: [2/100], Val_PSNR:34.65, Val_SSIM:0.9666, Lr:0.0008
Date: 2025-05-17 21:42:22s, Time_Cost: 3692s, Epoch: [3/100], Val_PSNR:34.94, Val_SSIM:0.9686, Lr:0.0008
Date: 2025-05-17 22:44:08s, Time_Cost: 3706s, Epoch: [4/100], Val_PSNR:35.07, Val_SSIM:0.9693, Lr:0.0008
Date: 2025-05-17 23:45:56s, Time_Cost: 3708s, Epoch: [5/100], Val_PSNR:35.41, Val_SSIM:0.9705, Lr:0.0008
Date: 2025-05-18 00:47:43s, Time_Cost: 3706s, Epoch: [6/100], Val_PSNR:35.46, Val_SSIM:0.9708, Lr:0.0008
Date: 2025-05-18 01:49:27s, Time_Cost: 3705s, Epoch: [7/100], Val_PSNR:35.64, Val_SSIM:0.9718, Lr:0.0008
Date: 2025-05-18 02:51:08s, Time_Cost: 3701s, Epoch: [8/100], Val_PSNR:35.64, Val_SSIM:0.9721, Lr:0.0008
Date: 2025-05-18 03:52:41s, Time_Cost: 3692s, Epoch: [9/100], Val_PSNR:35.69, Val_SSIM:0.9725, Lr:0.0008
Date: 2025-05-18 04:54:09s, Time_Cost: 3688s, Epoch: [10/100], Val_PSNR:35.82, Val_SSIM:0.9730, Lr:0.0008
Date: 2025-05-18 05:55:33s, Time_Cost: 3684s, Epoch: [11/100], Val_PSNR:35.91, Val_SSIM:0.9729, Lr:0.0008
Date: 2025-05-18 06:57:06s, Time_Cost: 3693s, Epoch: [12/100], Val_PSNR:35.87, Val_SSIM:0.9732, Lr:0.0008
Date: 2025-05-18 07:59:02s, Time_Cost: 3716s, Epoch: [13/100], Val_PSNR:36.08, Val_SSIM:0.9740, Lr:0.0008
Date: 2025-05-18 09:00:25s, Time_Cost: 3683s, Epoch: [14/100], Val_PSNR:36.11, Val_SSIM:0.9741, Lr:0.0008
Date: 2025-05-18 10:02:05s, Time_Cost: 3700s, Epoch: [15/100], Val_PSNR:36.13, Val_SSIM:0.9741, Lr:0.0008
Date: 2025-05-18 11:03:45s, Time_Cost: 3700s, Epoch: [16/100], Val_PSNR:36.20, Val_SSIM:0.9744, Lr:0.0008
Date: 2025-05-18 12:05:36s, Time_Cost: 3711s, Epoch: [17/100], Val_PSNR:36.20, Val_SSIM:0.9745, Lr:0.0008
Date: 2025-05-18 13:07:21s, Time_Cost: 3704s, Epoch: [18/100], Val_PSNR:36.29, Val_SSIM:0.9749, Lr:0.0008
Date: 2025-05-18 14:09:03s, Time_Cost: 3702s, Epoch: [19/100], Val_PSNR:36.33, Val_SSIM:0.9747, Lr:0.0008
Date: 2025-05-18 15:10:55s, Time_Cost: 3712s, Epoch: [20/100], Val_PSNR:36.33, Val_SSIM:0.9752, Lr:0.0008
Date: 2025-05-18 16:12:45s, Time_Cost: 3711s, Epoch: [21/100], Val_PSNR:36.32, Val_SSIM:0.9750, Lr:0.0008
Date: 2025-05-18 17:14:35s, Time_Cost: 3710s, Epoch: [22/100], Val_PSNR:36.41, Val_SSIM:0.9754, Lr:0.0008
